book_id,original_title,authors,publication_year,isbn,image_url
4265,Vinegar Hill (P.S.),A. Manette Ansay,1994,60897848,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6176,Find You in the Dark,A. Meredith Walters,2012,,https://images.gr-assets.com/books/1359627731m/16081754.jpg
444,Winnie-the-Pooh,A.A. Milne- Ernest H. Shepard,1926,525467564,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1545,The House at Pooh Corner,A.A. Milne- Ernest H. Shepard,1928,525444440,https://images.gr-assets.com/books/1348195621m/776407.jpg
2648,Winnie-the-Pooh & The House at Pooh Corner,A.A. Milne- Ernest H. Shepard,1926,525444475,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7481,When We Were Very Young,A.A. Milne- Ernest H. Shepard,1924,525444459,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7696,Now We Are Six,A.A. Milne- Ernest H. Shepard,1927,525444467,https://images.gr-assets.com/books/1348199373m/821000.jpg
7657,Scarlet,A.C. Gaughen,2012,802723462,https://images.gr-assets.com/books/1370147602m/11983940.jpg
3347,Splintered,A.G. Howard,2013,1419704281,https://images.gr-assets.com/books/1340134213m/12558285.jpg
9130,Unhinged,A.G. Howard,2014,1613125348,https://images.gr-assets.com/books/1366994000m/17449197.jpg
2509,The Atlantis Gene,A.G. Riddle,2013,,https://images.gr-assets.com/books/1385398066m/17999892.jpg
4903,The Atlantis Plague,A.G. Riddle,2013,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6015,The Atlantis World,A.G. Riddle,2014,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7004,Departure,A.G. Riddle,2014,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2044,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible As Literally As Possible,A.J. Jacobs,2007,743291476,https://images.gr-assets.com/books/1327977486m/495395.jpg
4836,The Know-It-All: One Man's Humble Quest to Become the Smartest Person in the World,A.J. Jacobs,2004,743250621,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3575,Sleeping Beauty,A.L. Singer- Walt Disney Company,1974,1579731813,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
7944,May We Be Forgiven,A.M. Homes,2012,670025488,https://images.gr-assets.com/books/1349221581m/16061734.jpg
2701,The Claiming of Sleeping Beauty,A.N. Roquelaure- Anne Rice,1983,452281423,https://images.gr-assets.com/books/1340735794m/26582.jpg
