book_id,original_title,authors,publication_year,isbn,image_url,quantity
1,The Hunger Games,Suzanne Collins,2008,439023483,https://images.gr-assets.com/books/1447303603m/2767052.jpg,2
2,Harry Potter and the Philosopher's Stone,J.K. Rowling- Mary GrandPré,1997,439554934,https://images.gr-assets.com/books/1474154022m/3.jpg,2
3,Twilight,Stephenie Meyer,2005,316015849,https://images.gr-assets.com/books/1361039443m/41865.jpg,6
4,To Kill a Mockingbird,Harper Lee,1960,61120081,https://images.gr-assets.com/books/1361975680m/2657.jpg,2
5,The Great Gatsby,F. Scott Fitzgerald,1925,743273567,https://images.gr-assets.com/books/1490528560m/4671.jpg,5
6,The Fault in Our Stars,John Green,2012,525478817,https://images.gr-assets.com/books/1360206420m/11870085.jpg,6
7,The Hobbit or There and Back Again,J.R.R. Tolkien,1937,618260307,https://images.gr-assets.com/books/1372847500m/5907.jpg,5
8,The Catcher in the Rye,J.D. Salinger,1951,316769177,https://images.gr-assets.com/books/1398034300m/5107.jpg,4
9,Angels & Demons ,Dan Brown,2000,1416524797,https://images.gr-assets.com/books/1303390735m/960.jpg,5
10,Pride and Prejudice,Jane Austen,1813,679783261,https://images.gr-assets.com/books/1320399351m/1885.jpg,3
11,The Kite Runner ,Khaled Hosseini,2003,1594480001,https://images.gr-assets.com/books/1484565687m/77203.jpg,2
12,Divergent,Veronica Roth,2011,62024035,https://images.gr-assets.com/books/1328559506m/13335037.jpg,3
13,Nineteen Eighty-Four,George Orwell- Erich Fromm- Celâl Üster,1949,451524934,https://images.gr-assets.com/books/1348990566m/5470.jpg,2
14,Animal Farm: A Fairy Story,George Orwell,1945,452284244,https://images.gr-assets.com/books/1424037542m/7613.jpg,2
15,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,Anne Frank- Eleanor Roosevelt- B.M. Mooyaart-Doubleday,1947,553296981,https://images.gr-assets.com/books/1358276407m/48855.jpg,6
16,Män som hatar kvinnor,Stieg Larsson- Reg Keeland,2005,307269752,https://images.gr-assets.com/books/1327868566m/2429135.jpg,2
17,Catching Fire,Suzanne Collins,2009,439023491,https://images.gr-assets.com/books/1358273780m/6148028.jpg,5
18,Harry Potter and the Prisoner of Azkaban,J.K. Rowling- Mary GrandPré- Rufus Beck,1999,043965548X,https://images.gr-assets.com/books/1499277281m/5.jpg,4
19,The Fellowship of the Ring,J.R.R. Tolkien,1954,618346252,https://images.gr-assets.com/books/1298411339m/34.jpg,5
20,Mockingjay,Suzanne Collins,2010,439023513,https://images.gr-assets.com/books/1358275419m/7260188.jpg,3
21,Harry Potter and the Order of the Phoenix,J.K. Rowling- Mary GrandPré,2003,439358078,https://images.gr-assets.com/books/1387141547m/2.jpg,3
22,The Lovely Bones,Alice Sebold,2002,316166685,https://images.gr-assets.com/books/1457810586m/12232938.jpg,5
23,Harry Potter and the Chamber of Secrets,J.K. Rowling- Mary GrandPré,1998,439064864,https://images.gr-assets.com/books/1474169725m/15881.jpg,3
24,Harry Potter and the Goblet of Fire,J.K. Rowling- Mary GrandPré,2000,439139600,https://images.gr-assets.com/books/1361482611m/6.jpg,3
25,Harry Potter and the Deathly Hallows,J.K. Rowling- Mary GrandPré,2007,545010225,https://images.gr-assets.com/books/1474171184m/136251.jpg,4
26,The Da Vinci Code,Dan Brown,2003,307277674,https://images.gr-assets.com/books/1303252999m/968.jpg,2
27,Harry Potter and the Half-Blood Prince,J.K. Rowling- Mary GrandPré,2005,439785960,https://images.gr-assets.com/books/1361039191m/1.jpg,2
28,Lord of the Flies ,William Golding,1954,140283331,https://images.gr-assets.com/books/1327869409m/7624.jpg,4
